,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
485,4.2,9,1,40,8,1264,1572
486,4.3,5544,790,36,4,385,443
487,4.3,2841,241,40,8,684,1025
488,4.253596615,2841,241,44,32,3671,4782
489,4.253596615,2841,241,41,16,903,1146
490,4.4,14,3,40,8,450,752
491,4.2,974,75,36,8,415,744
492,4.6,120,27,40,16,1588,2126
493,4.4,50,7,40,16,818,1087
494,4.253596615,2841,241,41,16,818,1014
495,4.2,31,3,40,16,663,1034
496,4.253596615,2841,241,44,32,2431,2838
497,4.4,2213,249,40,8,696,733
498,4.253596615,2841,241,40,8,916,1148
499,4.3,252,29,40,8,745,1145
500,4.253596615,2841,241,40,8,966,979
501,4,3,2,40,8,707,912
502,4.253596615,2841,241,34,16,1099,1373
503,4.2,265,21,40,8,672,939
504,4.3,40,4,34,8,818,1258
505,4.253596615,2841,241,36,16,3053,939
506,3.3,3,0,40,8,529,657
507,4.3,115,6,40,8,482,726
508,4.253596615,2841,241,41,16,1161,1344
509,4.2,6,0,40,8,831,1010
510,4.3,8,0,41,16,1710,2382
511,4.2,253,20,36,16,611,724
512,4.4,50,7,40,16,818,1087
513,4.1,1134,189,36,4,256,366
514,4.253596615,2841,241,36,16,1209,1589
515,4.3,2841,241,101,8,647,939
516,4.4,50,3,40,8,507,694
517,4.253596615,2841,241,41,16,1307,1552
518,4.253596615,2841,241,41,16,1161,1332
519,4.3,2841,241,40,8,684,1025
520,4.253596615,2841,241,103,32,2321,3077
521,4.253596615,2841,241,40,8,557,795
522,4.253596615,2841,241,40,8,446,599
523,4.2,974,75,36,8,415,744
524,4.253596615,2841,241,40,8,612,784
525,4.4,800,83,40,16,672,989
526,4.253596615,2841,241,35,16,1698,939
527,3,4,0,40,8,654,990
528,4.253596615,2841,241,41,8,733,916
529,4.5,98,8,36,8,782,1014
530,3,2,1,40,8,1686,1790
531,4.3,115,6,40,8,482,726
532,4.253596615,2841,241,40,16,1185,1832
533,4.253596615,2841,241,36,16,2204,2906
534,4.253596615,2841,241,37,16,1344,2089
535,4.2,253,20,36,16,611,724
536,4.7,12,2,40,16,911,1313
537,4.253596615,2841,241,36,16,2156,2710
538,4.253596615,2841,241,41,16,1356,1715
539,4.3,2841,241,40,8,684,1025
540,4.253596615,2841,241,34,16,1857,2309
541,4.253596615,2841,241,36,16,1222,1503
542,4.4,7358,982,40,8,733,855
543,4.2,974,75,36,8,415,744
544,4.2,100,13,39,16,855,999
545,4,113,14,36,4,421,611
546,4.253596615,2841,241,40,8,767,912
547,4.2,31,3,40,16,663,1034
548,4.253596615,2841,241,36,8,770,867
549,4.2,18,1,36,8,1246,1832
550,4.253596615,2841,241,40,8,487,611
551,3,4,0,40,8,654,990
552,4.4,132,18,40,16,1222,1576
553,4.253596615,2841,241,41,16,1405,1649
554,3.9,28,6,40,8,733,1045
555,4.2,253,20,36,16,611,724
556,4.3,1957,175,97,8,489,677
557,4.253596615,2841,241,40,16,1026,1358
558,4.3,1872,230,40,4,366,611
559,4.3,2841,241,101,8,647,939
560,4.4,145,21,40,8,941,1093
561,4.4,509,74,40,8,562,770
562,4.253596615,2841,241,36,16,1099,939
563,4.3,2841,241,40,8,684,1025
564,4.253596615,2841,241,34,16,1808,2175
565,4.253596615,2841,241,40,8,1425,939
566,4.253596615,2841,241,40,16,1613,2274
567,4.2,974,75,36,8,415,744
568,3.8,17,3,36,8,770,1317
569,4.253596615,2841,241,36,16,2932,3053
570,4.253596615,2841,241,40,8,860,1098
571,4.2,31,3,40,16,663,1034
572,4.253596615,2841,241,40,16,977,1222
573,4.253596615,2841,241,40,16,1099,1429
574,4.253596615,2841,241,40,8,1149,939
575,4.3,252,29,40,8,745,1145
576,4.4,800,83,40,16,672,989
577,4.253596615,2841,241,40,8,733,916
578,4,4,1,34,16,1539,1785
579,4.2,253,20,36,16,611,724
580,4.3,1956,206,40,8,562,713
581,4.2,261,50,40,8,415,611
582,4.2,181,35,40,8,403,550
583,4.3,2841,241,101,8,647,939
584,4.4,193,39,40,16,1588,1955
585,4.253596615,2841,241,36,16,1222,1503
586,4.4,80,14,40,8,892,1373
587,4.3,2841,241,40,8,684,1025
588,4.253596615,2841,241,38,8,556,657
589,4.3,250,29,40,8,831,1136
590,4.253596615,2841,241,41,8,1069,1355
591,4.2,974,75,36,8,415,744
592,4,53,4,40,8,495,694
593,4.5,45,4,40,16,1417,1466
594,4.7,9278,829,34,8,1161,1221
595,4.2,31,3,40,16,663,1034
596,4.4,194,19,40,8,880,1162
597,4.4,9,1,40,8,531,677
598,4.253596615,2841,241,40,8,1099,1332
599,4.2,265,21,40,8,672,939
600,4.4,9,1,40,8,531,677
601,4.253596615,2841,241,40,8,1099,1332
602,4.253596615,2841,241,40,8,904,1072
603,4.3,115,6,40,8,482,726
604,4.253596615,2841,241,36,8,562,672
605,4.3,362,57,40,8,379,611
606,4.3,99,16,40,4,513,643
607,4.2,253,20,36,16,611,724
608,4.3,253,35,40,8,593,687
609,4.7,3,0,41,16,2358,3152
610,4.3,60,5,38,8,540,669
611,4.3,2841,241,40,8,684,1025
612,4.253596615,2841,241,40,16,1758,2089
613,4.4,5,1,40,8,415,549
614,4.253596615,2841,241,103,16,1955,2564
615,4.2,974,75,36,8,415,744
616,4.1,57,14,36,16,1038,1429
617,4.253596615,2841,241,36,8,965,939
618,4.253596615,2841,241,36,16,1038,1173
619,4.2,31,3,40,16,663,1034
620,4.4,38,6,40,8,892,1009
621,4.3,346,41,40,8,855,1087
622,4.253596615,2841,241,40,8,489,660
623,4.3,252,29,40,8,745,1145
624,4.253596615,2841,241,40,8,734,882
625,4.2,54,17,40,16,696,977
626,4.253596615,2841,241,40,8,550,599
627,4.3,115,6,40,8,482,726
628,4.3,779,76,40,8,476,760
629,4.3,232,35,36,8,770,833
630,4.7,15,0,41,16,1222,1438
631,4.2,253,20,36,16,611,724
632,4.253596615,2841,241,36,16,831,1112
633,4.3,222,28,36,8,525,696
634,4.253596615,2841,241,40,8,1038,1466
635,4.3,2841,241,101,8,647,939
636,4.253596615,2841,241,41,16,1417,1784
637,4,99,10,40,8,519,711
638,4.253596615,2841,241,40,16,843,1009
639,4.3,2841,241,40,8,684,1025
640,4.6,5,0,40,8,391,454
641,4.2,287,17,40,8,634,800
642,4.2,261,50,40,8,415,611
643,4.2,974,75,36,8,415,744
644,4.2,50,4,34,8,881,939
645,4.253596615,2841,241,40,16,904,1405
646,4.4,12879,1904,36,8,574,672
647,3,4,0,40,8,654,990
648,4.253596615,2841,241,41,32,2321,939
649,4.3,252,29,40,8,745,1145
650,4.5,1576,207,40,8,1270,1833
651,4.3,115,6,40,8,482,726
652,4.3,417,48,40,8,427,611
653,4.1,1134,189,36,4,256,366
654,4.1,35,6,36,8,902,1131
655,4.2,253,20,36,16,611,724
656,4.253596615,2841,241,41,32,3665,4398
657,4.2,444,56,97,8,465,583
658,3.8,733,97,36,4,214,366
659,4.3,2841,241,101,8,647,939
660,4.4,339,36,40,8,733,977
661,4.253596615,2841,241,40,8,1253,939
662,4.3,2099,266,36,8,486,590
663,4.3,2841,241,40,8,684,1025
664,4.253596615,2841,241,36,16,1196,939
665,4.4,55,9,40,8,1051,1307
666,4.253596615,2841,241,40,8,561,711
667,4.2,974,75,36,8,415,744
668,3.9,62,10,36,8,623,831
669,4,15,5,40,8,904,1281
670,4.253596615,2841,241,40,16,1414,2199
671,3,4,0,40,8,654,990
672,4.4,61,7,40,8,684,794
673,4.6,52,4,41,16,1729,2735
674,4.253596615,2841,241,41,16,2199,939
675,4.3,115,6,40,8,482,726
676,4.1,45,10,40,8,720,1145
677,4,35,1,40,8,427,666
678,3.9,125,13,40,8,602,618
679,4.2,253,20,36,16,611,724
680,4.8,9,1,36,16,1148,1395
681,4.4,1509,316,36,8,537,1100
682,4.5,194,20,40,8,739,1025
683,4.3,2841,241,101,8,647,939
684,4.3,203,14,40,4,458,538
685,4.2,129,14,40,8,641,965
686,4.2,181,35,40,8,403,550
687,4.3,2841,241,40,8,684,1025
688,4.253596615,2841,241,36,8,733,926
