Company,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
ASUS,4.253596615,2841,241,36,16,1222,1503
Lenovo,4.4,80,14,40,8,892,1373
Lenovo,4.3,2841,241,40,8,684,1025
DELL,4.253596615,2841,241,38,8,556,657
acer,4.3,250,29,40,8,831,1136
DELL,4.253596615,2841,241,41,8,1069,1355
Lenovo,4.2,974,75,36,8,415,744
DELL,4,53,4,40,8,495,694
ASUS,4.5,45,4,40,16,1417,1466
APPLE,4.7,9278,829,34,8,1161,1221
Lenovo,4.2,31,3,40,16,663,1034
Lenovo,4.4,194,19,40,8,880,1162
DELL,4.4,9,1,40,8,531,677
acer,4.253596615,2841,241,40,8,1099,1332
Lenovo,4.2,265,21,40,8,672,939
DELL,4.4,9,1,40,8,531,677
acer,4.253596615,2841,241,40,8,1099,1332
HP,4.253596615,2841,241,40,8,904,1072
Lenovo,4.3,115,6,40,8,482,726
MSI,4.253596615,2841,241,36,8,562,672
Infinix,4.3,362,57,40,8,379,611
Lenovo,4.3,99,16,40,4,513,643
HP,4.2,253,20,36,16,611,724
HP,4.3,253,35,40,8,593,687
MSI,4.7,3,0,41,16,2358,3152
DELL,4.3,60,5,38,8,540,669
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.253596615,2841,241,40,16,1758,2089
HP,4.4,5,1,40,8,415,549
Lenovo,4.253596615,2841,241,103,16,1955,2564
